Material	SAE	DIN	WNR	KC 1.1 [Mpas]	KC 1.1 [Kpsi]	MC
318 	318 	X10CrNiMoNb18-12 	1.4583 	2150 	312 	0.20
320 				2150 	312 	0.20
321 	321 	X10CrNiTi18-9 	1.4541 	2150 	312 	0.20
321 H 		X8CrNiTi18-10 		2150 	312 	0.20
325 				2150 	312 	0.20
326 				2150 	312 	0.20
329 	329 	X8CrNiMo27-5 	1.4460 	2150 	312 	0.20
330 	330 	X12NiCrSi36-16 	1.4864 	2150 	312 	0.20
331 				2150 	312 	0.20
332 				2150 	312 	0.20
334 	70334 	X8CrNiAlTi20-20 		2150 	312 	0.20
3415 	3415 	14NiCr10 	1.5732 	1500 	218 	0.22
3415 	3415 	14NiCr14 	1.5752 	1775 	257 	0.24
347 	347 	X10CrNiNb18-9 	1.4550 	2150 	312 	0.20
348 		X5CrNiNb18-10 	1.4546 	2150 	312 	0.20
35NCD14 				1500 	218 	0.22
38C2 		38Cr2 	1.7003 	1775 	257 	0.24
394 				2150 	312 	0.20
403 	403 	X7Cr13 	1.4000 	1875 	272 	0.21
4032 	4032 			800 	116 	0.25
403Cb 	403Cb 			1875 	272 	0.21
403Cb+ 		X19CrMoVNb11-1 	1.4914 	1875 	272 	0.21
405 	405 	X10CrAl13 	1.4724 	1875 	272 	0.21
409 	409 	X6CrTi12 	1.4510 	1875 	272 	0.21
409 Cb 				1875 	272 	0.21
409 HP 				1875 	272 	0.21
40CMD8 		40CrMnMo7 	1.2311 	2450 	355 	0.23
40CrMnNiMo8 		40CrMnNiMo8 	1.2738 	1775 	257 	0.24
410 	410 	X10Cr13 	1.4006 	1875 	272 	0.21
410S 				1875 	272 	0.21
4130 	4130 	25CrMo4 	1.7218 	1775 	257 	0.24
4137 	4137 	34CrMo4 	1.7220 	1775 	257 	0.24
4140 	4140 	42CrMo4 	1.7225 	1775 	257 	0.24
4142 	4142 	41CrMo4 	1.7223 	1775 	257 	0.24
4150 	4150 	50CrMo4 	1.7228 	1775 	257 	0.24
416 	41600 	X12CrS13 	1.4005 	1875 	272 	0.21
420 	420 	X20Cr13 	1.4021 	1875 	272 	0.21
420F 	420F 	X30Cr13 	1.4028 	1875 	272 	0.21
425 				1875 	272 	0.21
429 	429 			1875 	272 	0.21
430 	430 	X8Cr17 	1.4016 	1875 	272 	0.21
430F 	430F 	X12CrMoS17 	1.4104 	1875 	272 	0.21
431 	431 	X22CrNi17 	1.4057 	1875 	272 	0.21
431 (HT) 	431 	X17CrNi16-2 	1.4057 	4600 	667 	0.25
433 				1875 	272 	0.21
434 	434 	X6CrMo17 	1.4113 	1875 	272 	0.21
4340 	4340 	35CrNiMo6 	1.6582 	1775 	257 	0.24
436S 				1875 	272 	0.21
439 HP 				1875 	272 	0.21
440A 	440A 	X70CrMo15 	1.4109 	1875 	272 	0.21
440C 	440C 	X105CrMo17 	1.4125 	1875 	272 	0.21
441 				1875 	272 	0.21
441 HP 				1875 	272 	0.21
4419 	4419 	22Mo4 	1.5419 	1775 	257 	0.24
444 	444 		1.4521 	1875 	272 	0.21
446 	446 	X10CrAl24 	1.4762 	1875 	272 	0.21
452 				1875 	272 	0.21
4520 	4520 			1775 	257 	0.24
455 	5617 			2150 	312 	0.20
45NCD17 	6F7 	X45NiCrMo4 	1.2767 	2450 	355 	0.23
500 				4600 	667 	0.25
5005 	5005 	AlMg1 	3.3315 	800 	116 	0.25
5015 	5015 	15Cr3 	1.7015 	1775 	257 	0.24
5045 	5045 	46Cr2 	1.7006 	1775 	257 	0.24
5052 	5052 	AlMg2,5 	3.3523 	800 	116 	0.25
5056 	5056 	AlMg5 	3.3555 	800 	116 	0.25
5083 	5083 	ASlMg4,5Mn 	3.3547 	800 	116 	0.25
5086 	5086 	AlMg4Mn 	3.3545 	800 	116 	0.25
5115 	5115 	16MnCr5 	1.7131 	1775 	257 	0.24
5120 	5120 	St52-3 	1.0841 	1775 	257 	0.24
5130 	5130 	28Cr4 	1.7030 	1775 	257 	0.24
5132 	5132 	34Cr4 	1.7033 	1775 	257 	0.24
5135 	5135 	37Cr4 	1.7034 	1775 	257 	0.24
5140 	5140 	41Cr4 	1.7035 	1775 	257 	0.24
5140 	5140 	41Cr4 	1.7035 	1775 	257 	0.24
5154 	5154 	AlMg3,5 	3.3535 	800 	116 	0.25
5155 	5155 	55Cr3 	1.7176 	1775 	257 	0.24
521 				4600 	667 	0.25
52100 	52100 	100Cr6 	1.3505 	1775 	257 	0.24
5251 	5251 	AlMg2Mo3 	3.3525 	800 	116 	0.25
5454 	5454 	AlMg2,5Mn 	3.3537 	800 	116 	0.25
55MnSi4-4 				1775 	257 	0.24
55NCDV6 		54NiCrMoV6 	1.2711 	1700 	247 	0.24
55W1 				1775 	257 	0.24
5657 	5657 	AlMg0,8Si 		800 	116 	0.25
5754 	5754 	AlMg3 	3.3535 	800 	116 	0.25
57NiCrMoV77 		57NiCrMoV77 	1.2744 	1700 	247 	0.24
600 				4700 	682 	0.25
6061 	6061 	AlMgSiCu 	3.3211 	800 	116 	0.25
6063 	6063 	AlMgSi0,5 	3.3206 	800 	116 	0.25
6070 	6070 			800 	116 	0.25
60SPb20 				4700 	682 	0.25
610 				2150 	312 	0.20
611 				2150 	312 	0.20
6150 	6150 	50CrV4 	1.8159 	1775 	257 	0.24
6151 	6151 			800 	116 	0.25
6262 	6262 			800 	116 	0.25
6351 	6351 	AlMgSi1 	3.2315 	800 	116 	0.25
6463 	6463 	EAlMgSi0,5 	3.3207 	800 	116 	0.25
6F3 	6F3 	56NiCrMoV7 	1.2714 	2450 	355 	0.23
6F5 	6F5 	55NiCr10 	1.2718 	2450 	355 	0.23
7001 	7001 			800 	116 	0.25
7003 	7003 			800 	116 	0.25
7020 	7020 	AlZn4,5Mg1 	3.4335 	800 	116 	0.25
7022 	7022 	AlZnMgCu0,5 	3.4345 	800 	116 	0.25
7050 	7050 			800 	116 	0.25
7075 	7075 	AlZnMgCu1,5 	3.4365 	800 	116 	0.25
70SPb20 				4700 	682 	0.25
7175 	7175 			800 	116 	0.25
7178 	7178 			800 	116 	0.25
7475 	7475 			800 	116 	0.25
75CrMoNiW67 		75CrMoNiW67 	1.2762 	2450 	355 	0.23
8017 	8017 			800 	116 	0.25
8024 				750 	109 	0.25
8090 				750 	109 	0.25
8091 				750 	109 	0.25
8093 				750 	109 	0.25
8620 	8620 	21NiCrMo2 	1.6523 	1775 	257 	0.24
8630 	8630 	27CrNiMo2 	1.6545 	1775 	257 	0.24
8740 	8740 	40NiCrMo22 	1.6546 	1775 	257 	0.24
904 L 		X1CrNiMoCu25-20-5 	1.4539 	2150 	312 	0.20
90MCV8 		90MnCrV8 	1.2842 	1775 	257 	0.24
9255 	9254 	55Si7 	1.0904 	1775 	257 	0.24
9262 	9262 	60SiCr7 	1.0961 	1775 	257 	0.24
9310 	9310 	14NiCrMo134 	1.6657 	1775 	257 	0.24
9840 	9840 	36CrNiMo4 	1.6511 	1775 	257 	0.24
A-286 	ASTM 368 	X5NiCrTi2515 	1.4980 	3100 	450 	0.24
A100 				4700 	682 	0.25
A105 	A105 	C22-8 		1775 	257 	0.24
A106GB 		P235GH 		1775 	257 	0.24
A128.75 	A12875 	GX120Mn12 	1.3401 	2450 	355 	0.23
A182 	ASTMA182F22 	10CrMo910 	1.7380 	1775 	257 	0.24
